file,N,numQ,algo,grasp,batch,AvgHeight,MaxHeight,Preprocessing,Queries,Overall,Standard deviation
resultTimesTemporary/E1/multicore-cpu-inlabel$V_32000000#Q_32000000#grasp_1000#batch_-1#$2021-01-06-11-21-25.out.test,32000000.0,32000000.0,Multicore CPU Inlabel,1000.0,-1.0,32020.4902,64050.8,8487.435000000001,1199.534,9686.9696,579.6629891875444
resultTimesTemporary/E1/multicore-cpu-inlabel$V_4000000#Q_4000000#grasp_-1#batch_-1#$2021-01-06-11-21-25.out.test,4000000.0,4000000.0,Multicore CPU Inlabel,-1.0,-1.0,15.578999999999999,35.8,725.1344000000001,84.0034,809.1379999999999,34.77663764655807
resultTimesTemporary/E1/multicore-cpu-inlabel$V_4000000#Q_4000000#grasp_1000#batch_-1#$2021-01-06-11-21-25.out.test,4000000.0,4000000.0,Multicore CPU Inlabel,1000.0,-1.0,4002.8960000000006,8014.6,644.3384,87.1478,731.4864,20.812227411788495
resultTimesTemporary/E1/multicore-cpu-inlabel$V_8000000#Q_8000000#grasp_-1#batch_-1#$2021-01-06-11-21-25.out.test,8000000.0,8000000.0,Multicore CPU Inlabel,-1.0,-1.0,16.6426,38.2,1868.5668,205.07840000000002,2073.6452,69.54145455884574
resultTimesTemporary/E1/multicore-cpu-inlabel$V_8000000#Q_8000000#grasp_1000#batch_-1#$2021-01-06-11-21-25.out.test,8000000.0,8000000.0,Multicore CPU Inlabel,1000.0,-1.0,7998.694,16010.8,1856.6446,227.8248,2084.4694000000004,44.525992600277874
resultTimesTemporary/E1/cuda-inlabel$V_1000000#Q_1000000#grasp_-1#batch_-1#$2021-01-02-23-15-04.out.test,1000000.0,1000000.0,CUDA Inlabel,-1.0,-1.0,13.979800000000004,31.6,50.109377777777766,3.113022222222222,53.22248888888888,0.7463233919904281
resultTimesTemporary/E1/cuda-inlabel$V_1000000#Q_1000000#grasp_1000#batch_-1#$2021-01-02-23-15-04.out.test,1000000.0,1000000.0,CUDA Inlabel,1000.0,-1.0,1009.0655999999997,2039.2,49.90026000000001,3.183039999999999,53.083279999999995,1.14777794089275
resultTimesTemporary/E1/cuda-inlabel$V_16000000#Q_16000000#grasp_-1#batch_-1#$2021-01-02-23-15-04.out.test,16000000.0,16000000.0,CUDA Inlabel,-1.0,-1.0,17.289199999999994,39.2,665.4822857142856,49.05020000000001,714.5324571428572,4.160711672249329
resultTimesTemporary/E1/cuda-inlabel$V_16000000#Q_16000000#grasp_1000#batch_-1#$2021-01-02-23-15-04.out.test,16000000.0,16000000.0,CUDA Inlabel,1000.0,-1.0,15988.431447368415,31954.763157894737,662.0714210526315,70.89413157894738,732.9654999999999,3.6296530771585065
resultTimesTemporary/E1/cuda-inlabel$V_2000000#Q_2000000#grasp_-1#batch_-1#$2021-01-02-23-15-04.out.test,2000000.0,2000000.0,CUDA Inlabel,-1.0,-1.0,15.141999999999998,34.8,86.33854285714285,6.0762,92.41480000000001,0.6838717005821662
resultTimesTemporary/E1/cuda-inlabel$V_2000000#Q_2000000#grasp_1000#batch_-1#$2021-01-02-23-15-04.out.test,2000000.0,2000000.0,CUDA Inlabel,1000.0,-1.0,2015.1895999999995,4042.0,85.75754285714285,6.287171428571427,92.04482857142855,1.2042070416600608
resultTimesTemporary/E1/cuda-inlabel$V_32000000#Q_32000000#grasp_-1#batch_-1#$2021-01-02-23-15-04.out.test,32000000.0,32000000.0,CUDA Inlabel,-1.0,-1.0,17.7646,39.6,1334.6986571428577,128.03574285714288,1462.7345714285714,5.412527211601491
resultTimesTemporary/E1/cuda-inlabel$V_32000000#Q_32000000#grasp_1000#batch_-1#$2021-01-02-23-15-04.out.test,32000000.0,32000000.0,CUDA Inlabel,1000.0,-1.0,32020.49020000001,64050.8,1325.7404285714285,204.26505714285716,1530.0056571428574,6.816379784619056
resultTimesTemporary/E1/cuda-inlabel$V_4000000#Q_4000000#grasp_-1#batch_-1#$2021-01-02-23-15-04.out.test,4000000.0,4000000.0,CUDA Inlabel,-1.0,-1.0,15.578999999999999,35.8,166.63197142857146,12.23802857142857,178.8702,1.603570726312288
resultTimesTemporary/E1/cuda-inlabel$V_4000000#Q_4000000#grasp_1000#batch_-1#$2021-01-02-23-15-04.out.test,4000000.0,4000000.0,CUDA Inlabel,1000.0,-1.0,4002.896000000001,8014.6,165.57320000000004,12.80285714285714,178.37605714285718,1.6501252583253385
resultTimesTemporary/E1/cuda-inlabel$V_8000000#Q_8000000#grasp_-1#batch_-1#$2021-01-02-23-15-04.out.test,8000000.0,8000000.0,CUDA Inlabel,-1.0,-1.0,16.642599999999998,38.2,329.2167142857142,24.56925714285714,353.78591428571434,2.6706593447143736
resultTimesTemporary/E1/cuda-inlabel$V_8000000#Q_8000000#grasp_1000#batch_-1#$2021-01-02-23-15-04.out.test,8000000.0,8000000.0,CUDA Inlabel,1000.0,-1.0,7998.694000000001,16010.8,326.38525714285703,26.226028571428568,352.6112571428571,2.2329201552209152
resultTimesTemporary/E1/cuda-naive$V_1000000#Q_1000000#grasp_-1#batch_-1#$2021-01-02-23-15-04.out.test,1000000.0,1000000.0,CUDA Naive,-1.0,-1.0,13.979800000000004,31.6,3.630542857142857,8.938742857142858,12.569257142857142,0.19639513273822576
resultTimesTemporary/E1/cuda-naive$V_1000000#Q_1000000#grasp_1000#batch_-1#$2021-01-02-23-15-04.out.test,1000000.0,1000000.0,CUDA Naive,1000.0,-1.0,1009.0656,2039.2,4.5348,424.73942857142856,429.27414285714286,15.70536185264284
resultTimesTemporary/E1/cuda-naive$V_2000000#Q_2000000#grasp_-1#batch_-1#$2021-01-02-23-15-04.out.test,2000000.0,2000000.0,CUDA Naive,-1.0,-1.0,15.141999999999998,34.8,6.000428571428571,22.976000000000003,28.976257142857147,0.1728177145115037
resultTimesTemporary/E1/cuda-naive$V_2000000#Q_2000000#grasp_1000#batch_-1#$2021-01-02-23-15-04.out.test,2000000.0,2000000.0,CUDA Naive,1000.0,-1.0,2015.1895999999995,4042.0,8.340342857142858,2651.4441428571436,2659.784600000001,104.39113306248076
resultTimesTemporary/E1/cuda-naive$V_4000000#Q_4000000#grasp_-1#batch_-1#$2021-01-02-23-15-04.out.test,4000000.0,4000000.0,CUDA Naive,-1.0,-1.0,15.578999999999999,35.8,10.6874,53.05011428571428,63.73751428571429,0.6683657840019114
resultTimesTemporary/E1/cuda-naive$V_4000000#Q_4000000#grasp_1000#batch_-1#$2021-01-02-23-15-04.out.test,4000000.0,4000000.0,CUDA Naive,1000.0,-1.0,4002.896000000001,8014.6,16.728257142857142,12874.546942857143,12891.275057142859,244.84716968601842
resultTimesTemporary/E1/cuda-naive$V_8000000#Q_8000000#grasp_-1#batch_-1#$2021-01-02-23-15-04.out.test,8000000.0,8000000.0,CUDA Naive,-1.0,-1.0,16.642599999999998,38.2,19.75768571428571,117.54311428571425,137.3007142857143,1.6541199744262551
resultTimesTemporary/E1/cuda-naive$V_8000000#Q_8000000#grasp_1000#batch_-1#$2021-01-02-23-15-04.out.test,8000000.0,8000000.0,CUDA Naive,1000.0,-1.0,7998.694000000001,16010.8,33.78608571428572,58318.11842857142,58351.90445714285,610.1376443768992
resultTimesTemporary/E1/cuda-naive$V_16000000#Q_16000000#grasp_-1#batch_-1#$2021-01-02-23-15-04.out.test,16000000.0,16000000.0,CUDA Naive,-1.0,-1.0,17.289199999999994,39.2,36.27637142857142,253.26042857142858,289.53682857142866,2.0416060132820415
resultTimesTemporary/E1/cuda-naive$V_16000000#Q_8000000#grasp_1000#batch_-1#$2021-01-02-23-15-04.out.test,16000000.0,16000000.0,CUDA Naive,1000.0,-1.0,16999.450000000001,32015.8,67.59392793173950,325421.49385028109,325489.087778213,1258.12398435029634
resultTimesTemporary/E1/cuda-naive$V_32000000#Q_32000000#grasp_-1#batch_-1#$2021-01-02-23-15-04.out.test,32000000.0,32000000.0,CUDA Naive,-1.0,-1.0,17.7646,39.6,69.97317142857142,535.2302,605.2032857142857,8.488672743541166
resultTimesTemporary/E1/cuda-naive$V_32000000#Q_8000000#grasp_1000#batch_-1#$2021-01-02-23-15-04.out.test,32000000.0,32000000.0,CUDA Naive,1000.0,-1.0,32999.950000000001,64020.3,134.2342530492753,645421.49385028109,645489.087778213,1258.12398435029634

resultTimesTemporary/E2/cpu-inlabel$V_8000000#Q_10000000#grasp_-1#batch_1#$2021-01-10-15-19-35.out.test,8000000.0,10000000.0,CPU Inlabel,-1.0,1.0,16.189799999999998,38.4,2916.5428,1468.8647999999998,4385.407799999999,16.111216023627676
resultTimesTemporary/E2/cpu-inlabel$V_8000000#Q_10000000#grasp_-1#batch_10#$2021-01-10-15-19-35.out.test,8000000.0,10000000.0,CPU Inlabel,-1.0,10.0,16.189799999999998,38.4,2898.9184,1458.5046,4357.4232,29.521829783399415
resultTimesTemporary/E2/cpu-inlabel$V_8000000#Q_10000000#grasp_-1#batch_100#$2021-01-10-15-19-35.out.test,8000000.0,10000000.0,CPU Inlabel,-1.0,100.0,16.189799999999998,38.4,2887.966,1455.8096,4343.7758,34.81496037854997
resultTimesTemporary/E2/cpu-inlabel$V_8000000#Q_10000000#grasp_-1#batch_1000#$2021-01-10-15-19-35.out.test,8000000.0,10000000.0,CPU Inlabel,-1.0,1000.0,16.189799999999998,38.4,2918.9554000000003,1481.6164,4400.5716,71.20500603356494
resultTimesTemporary/E2/cpu-inlabel$V_8000000#Q_10000000#grasp_-1#batch_10000#$2021-01-10-15-19-35.out.test,8000000.0,10000000.0,CPU Inlabel,-1.0,10000.0,16.189799999999998,38.4,2939.6402000000003,1485.425,4425.0653999999995,47.945526567553834
resultTimesTemporary/E2/cpu-inlabel$V_8000000#Q_10000000#grasp_-1#batch_100000#$2021-01-10-15-19-35.out.test,8000000.0,10000000.0,CPU Inlabel,-1.0,100000.0,16.189799999999998,38.4,2923.9618,1489.8935999999999,4413.8554,43.74353479361272
resultTimesTemporary/E2/cpu-inlabel$V_8000000#Q_10000000#grasp_-1#batch_1000000#$2021-01-10-15-19-35.out.test,8000000.0,10000000.0,CPU Inlabel,-1.0,1000000.0,16.189799999999998,38.4,2939.8282000000004,1501.0502000000001,4440.8788,38.68648028652917
resultTimesTemporary/E2/cpu-inlabel$V_8000000#Q_10000000#grasp_-1#batch_10000000#$2021-01-10-15-19-35.out.test,8000000.0,10000000.0,CPU Inlabel,-1.0,10000000.0,16.189799999999998,38.4,2907.0284,1478.1458000000002,4385.174000000001,75.61566265529913
resultTimesTemporary/E2/cuda-inlabel$V_8000000#Q_10000000#grasp_-1#batch_1#$2021-01-10-15-19-35.out.test,8000000.0,10000000.0,CUDA Inlabel,-1.0,1.0,16.189799999999998,38.4,334.9312,123367.99140000001,123702.92300000002,1868.9927352200154
resultTimesTemporary/E2/cuda-inlabel$V_8000000#Q_10000000#grasp_-1#batch_10#$2021-01-10-15-19-35.out.test,8000000.0,10000000.0,CUDA Inlabel,-1.0,10.0,16.189799999999998,38.4,334.39639999999997,12765.011,13099.4076,226.7303617785671
resultTimesTemporary/E2/cuda-inlabel$V_8000000#Q_10000000#grasp_-1#batch_100#$2021-01-10-15-19-35.out.test,8000000.0,10000000.0,CUDA Inlabel,-1.0,100.0,16.189799999999998,38.4,328.89979999999997,1427.1312,1756.0313999999998,20.38799136354532
resultTimesTemporary/E2/cuda-inlabel$V_8000000#Q_10000000#grasp_-1#batch_1000#$2021-01-10-15-19-35.out.test,8000000.0,10000000.0,CUDA Inlabel,-1.0,1000.0,16.189799999999998,38.4,329.2146,166.865,496.0796,3.879852141512615
resultTimesTemporary/E2/cuda-inlabel$V_8000000#Q_10000000#grasp_-1#batch_10000#$2021-01-10-15-19-35.out.test,8000000.0,10000000.0,CUDA Inlabel,-1.0,10000.0,16.189799999999998,38.4,329.4476,42.8662,372.3138,1.712581957162924
resultTimesTemporary/E2/cuda-inlabel$V_8000000#Q_10000000#grasp_-1#batch_100000#$2021-01-10-15-19-35.out.test,8000000.0,10000000.0,CUDA Inlabel,-1.0,100000.0,16.189799999999998,38.4,329.17580000000004,30.993599999999997,360.1698,0.5793138700221199
resultTimesTemporary/E2/cuda-inlabel$V_8000000#Q_10000000#grasp_-1#batch_1000000#$2021-01-10-15-19-35.out.test,8000000.0,10000000.0,CUDA Inlabel,-1.0,1000000.0,16.189799999999998,38.4,329.3938,28.9472,358.3406,1.3858677570388849
resultTimesTemporary/E2/cuda-inlabel$V_8000000#Q_10000000#grasp_-1#batch_10000000#$2021-01-10-15-19-35.out.test,8000000.0,10000000.0,CUDA Inlabel,-1.0,10000000.0,16.189799999999998,38.4,328.827,29.130599999999998,357.9572,0.5270003415558587
resultTimesTemporary/E2/multicore-cpu-inlabel$V_8000000#Q_10000000#grasp_-1#batch_1#$2021-01-10-15-19-35.out.test,8000000.0,10000000.0,Multicore CPU Inlabel,-1.0,1.0,16.189799999999998,38.4,1522.1724,21533.9132,23056.085799999997,312.90228052694005
resultTimesTemporary/E2/multicore-cpu-inlabel$V_8000000#Q_10000000#grasp_-1#batch_10#$2021-01-10-15-19-35.out.test,8000000.0,10000000.0,Multicore CPU Inlabel,-1.0,10.0,16.189799999999998,38.4,1517.3812,2197.0366000000004,3714.418,25.287806484549
